word,masked,category,difficulty,sheet,index,row,col,icon,status
"drugi","dr_gi","u/ó","1","sheets/u-o.svg","51","8","3","🥈","temp-candidate"
"gruby","gr_by","u/ó","1","sheets/u-o.svg","52","8","4","📚","temp-candidate"
"grupa","gr_pa","u/ó","1","sheets/u-o.svg","53","8","5","👥","temp-candidate"
"gumka","g_mka","u/ó","1","sheets/u-o.svg","54","9","0","🧽","temp-candidate"
"muszla","m_szla","u/ó","1","sheets/u-o.svg","55","9","1","🐚","temp-candidate"
"nuty","n_ty","u/ó","1","sheets/u-o.svg","56","9","2","🎵","temp-candidate"
"kupić","k_pić","u/ó","1","sheets/u-o.svg","57","9","3","🛒","temp-candidate"
"ludzie","l_dzie","u/ó","1","sheets/u-o.svg","58","9","4","👨‍👩‍👧‍👦","temp-candidate"
"lupa","l_pa","u/ó","1","sheets/u-o.svg","59","9","5","🔍","temp-candidate"
"muzyka","m_zyka","u/ó","1","sheets/u-o.svg","60","10","0","🎶","temp-candidate"
"pusty","p_sty","u/ó","1","sheets/u-o.svg","61","10","1","📭","temp-candidate"
"nudny","n_dny","u/ó","1","sheets/u-o.svg","62","10","2","🥱","temp-candidate"
"pudełko","p_dełko","u/ó","2","sheets/u-o.svg","63","10","3","📦","temp-candidate"
"rudy","r_dy","u/ó","1","sheets/u-o.svg","64","10","4","🦊","temp-candidate"
"pudło","p_dło","u/ó","1","sheets/u-o.svg","65","10","5","📦","temp-candidate"
"rura","r_ra","u/ó","1","sheets/u-o.svg","66","11","0","🧯","temp-candidate"
"ruszyć","r_szyć","u/ó","1","sheets/u-o.svg","67","11","1","🏃","temp-candidate"
"sufit","s_fit","u/ó","1","sheets/u-o.svg","68","11","2","🏠","temp-candidate"
"sukienka","s_kienka","u/ó","2","sheets/u-o.svg","69","11","3","👗","temp-candidate"
"szuflada","sz_flada","u/ó","2","sheets/u-o.svg","70","11","4","🗄️","temp-candidate"
"trudny","tr_dny","u/ó","1","sheets/u-o.svg","71","11","5","🧩","temp-candidate"
"tutaj","t_taj","u/ó","1","sheets/u-o.svg","72","12","0","📍","temp-candidate"
"tuba","t_ba","u/ó","1","sheets/u-o.svg","73","12","1","📣","temp-candidate"
"tunel","t_nel","u/ó","1","sheets/u-o.svg","74","12","2","🚇","temp-candidate"
"upominek","_pominek","u/ó","2","sheets/u-o.svg","75","12","3","🎁","temp-candidate"
"autobus","a_tobus","u/ó","2","sheets/u-o.svg","76","12","4","🚌","temp-candidate"
"krzesło","k_esło","rz/ż","2","sheets/rz-z.svg","0","0","0","🪑","temp-candidate"
"wrzesień","w_esień","rz/ż","2","sheets/rz-z.svg","1","0","1","🍂","temp-candidate"
"rzadki","_adki","rz/ż","1","sheets/rz-z.svg","2","0","2","💧","temp-candidate"
"rząd","_ąd","rz/ż","1","sheets/rz-z.svg","3","0","3","🏛️","temp-candidate"
"rzecz","_ecz","rz/ż","1","sheets/rz-z.svg","4","0","4","📦","temp-candidate"
"rzut","_ut","rz/ż","1","sheets/rz-z.svg","5","0","5","🏀","temp-candidate"
"rzęsa","_ęsa","rz/ż","1","sheets/rz-z.svg","6","1","0","👁️","temp-candidate"
"rzucić","_ucić","rz/ż","1","sheets/rz-z.svg","7","1","1","🥎","temp-candidate"
"brzydki","b_ydki","rz/ż","2","sheets/rz-z.svg","8","1","2","🙃","temp-candidate"
"grzech","g_ech","rz/ż","1","sheets/rz-z.svg","9","1","3","⚠️","temp-candidate"
"grzejnik","g_ejnik","rz/ż","2","sheets/rz-z.svg","10","1","4","♨️","temp-candidate"
"drzwi","d_wi","rz/ż","1","sheets/rz-z.svg","11","1","5","🚪","temp-candidate"
"drzemka","d_emka","rz/ż","2","sheets/rz-z.svg","12","2","0","😴","temp-candidate"
"trzeci","t_eci","rz/ż","1","sheets/rz-z.svg","13","2","1","🥉","temp-candidate"
"trzmiel","t_miel","rz/ż","2","sheets/rz-z.svg","14","2","2","🐝","temp-candidate"
"przód","p_ód","rz/ż","1","sheets/rz-z.svg","15","2","3","⬆️","temp-candidate"
"przed","p_ed","rz/ż","1","sheets/rz-z.svg","16","2","4","⏩","temp-candidate"
"przez","p_ez","rz/ż","1","sheets/rz-z.svg","17","2","5","➡️","temp-candidate"
"przyjaciel","p_yjaciel","rz/ż","2","sheets/rz-z.svg","18","3","0","🧑‍🤝‍🧑","temp-candidate"
"sprzątać","sp_ątać","rz/ż","2","sheets/rz-z.svg","19","3","1","🧹","temp-candidate"
"wrzątek","w_ątek","rz/ż","2","sheets/rz-z.svg","20","3","2","♨️","temp-candidate"
"krzyż","k_yż","rz/ż","1","sheets/rz-z.svg","21","3","3","✝️","temp-candidate"
"malarz","mala_","rz/ż","1","sheets/rz-z.svg","22","3","4","🎨","temp-candidate"
"piekarz","pieka_","rz/ż","2","sheets/rz-z.svg","23","3","5","🥖","temp-candidate"
"piłkarz","piłka_","rz/ż","2","sheets/rz-z.svg","24","4","0","⚽","temp-candidate"
"kolejarz","koleja_","rz/ż","2","sheets/rz-z.svg","25","4","1","🚆","temp-candidate"
"murarz","mura_","rz/ż","1","sheets/rz-z.svg","26","4","2","🧱","temp-candidate"
"pisarz","pisa_","rz/ż","1","sheets/rz-z.svg","27","4","3","✍️","temp-candidate"
"rycerz","ryce_","rz/ż","2","sheets/rz-z.svg","28","4","4","🛡️","temp-candidate"
"talerz","tale_","rz/ż","1","sheets/rz-z.svg","29","4","5","🍽️","temp-candidate"
"kalendarz","kalenda_","rz/ż","2","sheets/rz-z.svg","30","5","0","📅","temp-candidate"
"cmentarz","cmenta_","rz/ż","2","sheets/rz-z.svg","31","5","1","🕯️","temp-candidate"
"korytarz","koryta_","rz/ż","2","sheets/rz-z.svg","32","5","2","🚪","temp-candidate"
"komentarz","komenta_","rz/ż","2","sheets/rz-z.svg","33","5","3","💬","temp-candidate"
"zwierzę","zwie_ę","rz/ż","2","sheets/rz-z.svg","34","5","4","🐾","temp-candidate"
"zwierzak","zwie_ak","rz/ż","2","sheets/rz-z.svg","35","5","5","🐾","temp-candidate"
"jarzębina","ja_ębina","rz/ż","2","sheets/rz-z.svg","36","6","0","🍒","temp-candidate"
"porządek","po_ądek","rz/ż","2","sheets/rz-z.svg","37","6","1","🧹","temp-candidate"
"porzeczka","po_eczka","rz/ż","2","sheets/rz-z.svg","38","6","2","🍒","temp-candidate"
"marzenie","ma_enie","rz/ż","2","sheets/rz-z.svg","39","6","3","💭","temp-candidate"
"marzyć","ma_yć","rz/ż","1","sheets/rz-z.svg","40","6","4","💭","temp-candidate"
"orzech","o_ech","rz/ż","1","sheets/rz-z.svg","41","6","5","🌰","temp-candidate"
"brzuch","b_uch","rz/ż","1","sheets/rz-z.svg","42","7","0","🫃","temp-candidate"
"grzmot","g_mot","rz/ż","1","sheets/rz-z.svg","43","7","1","🌩️","temp-candidate"
"grzać","g_ać","rz/ż","1","sheets/rz-z.svg","44","7","2","🔥","temp-candidate"
"ogrzać","og_ać","rz/ż","1","sheets/rz-z.svg","45","7","3","🔥","temp-candidate"
"zmarznąć","zma_nąć","rz/ż","2","sheets/rz-z.svg","46","7","4","🥶","temp-candidate"
"przedszkole","p_edszkole","rz/ż","2","sheets/rz-z.svg","47","7","5","🧸","temp-candidate"
"przerwa","p_erwa","rz/ż","2","sheets/rz-z.svg","48","8","0","⏸️","temp-candidate"
"przepraszam","p_epraszam","rz/ż","2","sheets/rz-z.svg","49","8","1","🙏","temp-candidate"
"przepis","p_epis","rz/ż","2","sheets/rz-z.svg","50","8","2","📖","temp-candidate"
"żółtko","_ółtko","rz/ż","1","sheets/rz-z.svg","51","8","3","🍳","temp-candidate"
"łyżka","ły_ka","rz/ż","1","sheets/rz-z.svg","52","8","4","🥄","temp-candidate"
"ważny","wa_ny","rz/ż","1","sheets/rz-z.svg","53","8","5","❗","temp-candidate"
"jeżyna","je_yna","rz/ż","2","sheets/rz-z.svg","54","9","0","🫐","temp-candidate"
"żart","_art","rz/ż","1","sheets/rz-z.svg","55","9","1","😄","temp-candidate"
"żarówka","_arówka","rz/ż","2","sheets/rz-z.svg","56","9","2","💡","temp-candidate"
"żelazo","_elazo","rz/ż","1","sheets/rz-z.svg","57","9","3","🔩","temp-candidate"
"żona","_ona","rz/ż","1","sheets/rz-z.svg","58","9","4","💍","temp-candidate"
"żuk","_uk","rz/ż","1","sheets/rz-z.svg","59","9","5","🐞","temp-candidate"
"żubr","_ubr","rz/ż","1","sheets/rz-z.svg","60","10","0","🦬","temp-candidate"
"żurek","_urek","rz/ż","2","sheets/rz-z.svg","61","10","1","🍲","temp-candidate"
"żyrafa","_yrafa","rz/ż","1","sheets/rz-z.svg","62","10","2","🦒","temp-candidate"
"życie","_ycie","rz/ż","1","sheets/rz-z.svg","63","10","3","🌱","temp-candidate"
"żyto","_yto","rz/ż","1","sheets/rz-z.svg","64","10","4","🌾","temp-candidate"
"życzenie","_yczenie","rz/ż","2","sheets/rz-z.svg","65","10","5","🌠","temp-candidate"
"życzliwy","_yczliwy","rz/ż","2","sheets/rz-z.svg","66","11","0","😊","temp-candidate"
"żegnać","_egnać","rz/ż","1","sheets/rz-z.svg","67","11","1","👋","temp-candidate"
"żagiel","_agiel","rz/ż","2","sheets/rz-z.svg","68","11","2","⛵","temp-candidate"
"żołądek","_ołądek","rz/ż","2","sheets/rz-z.svg","69","11","3","🍽️","temp-candidate"
"żołnierz","_ołnierz","rz/ż","2","sheets/rz-z.svg","70","11","4","🪖","temp-candidate"
"żmija","_mija","rz/ż","2","sheets/rz-z.svg","71","11","5","🐍","temp-candidate"
"żniwa","_niwa","rz/ż","2","sheets/rz-z.svg","72","12","0","🌾","temp-candidate"
"żuraw","_uraw","rz/ż","2","sheets/rz-z.svg","73","12","1","🏗️","temp-candidate"
"żwir","_wir","rz/ż","1","sheets/rz-z.svg","74","12","2","🪨","temp-candidate"
"żartować","_artować","rz/ż","2","sheets/rz-z.svg","75","12","3","😄","temp-candidate"
"odważny","odwa_ny","rz/ż","2","sheets/rz-z.svg","76","12","4","🦁","temp-candidate"
"uważny","uwa_ny","rz/ż","1","sheets/rz-z.svg","77","12","5","👀","temp-candidate"
"podróż","podró_","rz/ż","1","sheets/rz-z.svg","78","13","0","✈️","temp-candidate"
"podróżnik","podró_nik","rz/ż","2","sheets/rz-z.svg","79","13","1","🎒","temp-candidate"
"garaż","gara_","rz/ż","1","sheets/rz-z.svg","80","13","2","🚗","temp-candidate"
"bagaż","baga_","rz/ż","1","sheets/rz-z.svg","81","13","3","🧳","temp-candidate"
"plaża","pla_a","rz/ż","1","sheets/rz-z.svg","82","13","4","🏖️","temp-candidate"
"straż","stra_","rz/ż","1","sheets/rz-z.svg","83","13","5","🚨","temp-candidate"
"strażak","stra_ak","rz/ż","2","sheets/rz-z.svg","84","14","0","🚒","temp-candidate"
"kałuża","kału_a","rz/ż","1","sheets/rz-z.svg","85","14","1","💦","temp-candidate"
"wąż","wą_","rz/ż","1","sheets/rz-z.svg","86","14","2","🐍","temp-candidate"
"nożyczki","no_yczki","rz/ż","2","sheets/rz-z.svg","87","14","3","✂️","temp-candidate"
"łyżwy","ły_wy","rz/ż","1","sheets/rz-z.svg","88","14","4","⛸️","temp-candidate"
"pożar","po_ar","rz/ż","1","sheets/rz-z.svg","89","14","5","🔥","temp-candidate"
"pożegnać","po_egnać","rz/ż","2","sheets/rz-z.svg","90","15","0","👋","temp-candidate"
"pożyczyć","po_yczyć","rz/ż","2","sheets/rz-z.svg","91","15","1","🤲","temp-candidate"
"możliwość","mo_liwość","rz/ż","2","sheets/rz-z.svg","92","15","2","🔓","temp-candidate"
"możliwy","mo_liwy","rz/ż","2","sheets/rz-z.svg","93","15","3","✅","temp-candidate"
"każdy","ka_dy","rz/ż","1","sheets/rz-z.svg","94","15","4","👥","temp-candidate"
"drużyna","dru_yna","rz/ż","2","sheets/rz-z.svg","95","15","5","🏆","temp-candidate"
"koleżanka","kole_anka","rz/ż","2","sheets/rz-z.svg","96","16","0","👭","temp-candidate"
"mężczyzna","mę_czyzna","rz/ż","2","sheets/rz-z.svg","97","16","1","👨","temp-candidate"
"ciężki","cię_ki","rz/ż","1","sheets/rz-z.svg","98","16","2","🏋️","temp-candidate"
"ciężar","cię_ar","rz/ż","1","sheets/rz-z.svg","99","16","3","🏋️","temp-candidate"
"ciężarówka","cię_arówka","rz/ż","2","sheets/rz-z.svg","100","16","4","🚚","temp-candidate"
"choinka","_oinka","ch/h","2","sheets/ch-h.svg","0","0","0","🎄","temp-candidate"
"mucha","mu_a","ch/h","1","sheets/ch-h.svg","1","0","1","🪰","temp-candidate"
"chłopiec","_łopiec","ch/h","2","sheets/ch-h.svg","2","0","2","👦","temp-candidate"
"zachód","za_ód","ch/h","1","sheets/ch-h.svg","3","0","3","🌇","temp-candidate"
"wschód","ws_ód","ch/h","1","sheets/ch-h.svg","4","0","4","🌅","temp-candidate"
"chustka","_ustka","ch/h","2","sheets/ch-h.svg","5","0","5","🧣","temp-candidate"
"chudy","_udy","ch/h","1","sheets/ch-h.svg","6","1","0","🪶","temp-candidate"
"chrupki","_rupki","ch/h","2","sheets/ch-h.svg","7","1","1","🥨","temp-candidate"
"chrząszcz","_rząszcz","ch/h","2","sheets/ch-h.svg","8","1","2","🐞","temp-candidate"
"chwila","_wila","ch/h","1","sheets/ch-h.svg","9","1","3","⏱️","temp-candidate"
"chwalić","_walić","ch/h","2","sheets/ch-h.svg","10","1","4","👏","temp-candidate"
"chować","_ować","ch/h","1","sheets/ch-h.svg","11","1","5","📦","temp-candidate"
"chodzić","_odzić","ch/h","2","sheets/ch-h.svg","12","2","0","🚶","temp-candidate"
"chomik","_omik","ch/h","2","sheets/ch-h.svg","13","2","1","🐹","temp-candidate"
"chłód","_łód","ch/h","1","sheets/ch-h.svg","14","2","2","❄️","temp-candidate"
"chłodny","_łodny","ch/h","2","sheets/ch-h.svg","15","2","3","🧊","temp-candidate"
"chłopak","_łopak","ch/h","2","sheets/ch-h.svg","16","2","4","👦","temp-candidate"
"chrapać","_rapać","ch/h","2","sheets/ch-h.svg","17","2","5","😴","temp-candidate"
"chcieć","_cieć","ch/h","1","sheets/ch-h.svg","18","3","0","🙏","temp-candidate"
"chociaż","_ociaż","ch/h","2","sheets/ch-h.svg","19","3","1","↔️","temp-candidate"
"chemia","_emia","ch/h","1","sheets/ch-h.svg","20","3","2","🧪","temp-candidate"
"chór","_ór","ch/h","2","sheets/ch-h.svg","21","3","3","🎶","temp-candidate"
"cichy","ci_y","ch/h","1","sheets/ch-h.svg","22","3","4","🤫","temp-candidate"
"cicho","ci_o","ch/h","1","sheets/ch-h.svg","23","3","5","🤫","temp-candidate"
"suchy","su_y","ch/h","1","sheets/ch-h.svg","24","4","0","☀️","temp-candidate"
"puchar","pu_ar","ch/h","1","sheets/ch-h.svg","25","4","1","🏆","temp-candidate"
"duch","du_","ch/h","1","sheets/ch-h.svg","26","4","2","👻","temp-candidate"
"ruch","ru_","ch/h","1","sheets/ch-h.svg","27","4","3","🏃","temp-candidate"
"puch","pu_","ch/h","1","sheets/ch-h.svg","28","4","4","🪶","temp-candidate"
"mech","me_","ch/h","1","sheets/ch-h.svg","29","4","5","🌿","temp-candidate"
"pech","pe_","ch/h","1","sheets/ch-h.svg","30","5","0","☔","temp-candidate"
"pośpiech","pośpie_","ch/h","2","sheets/ch-h.svg","31","5","1","🏃","temp-candidate"
"strach","stra_","ch/h","1","sheets/ch-h.svg","32","5","2","😱","temp-candidate"
"zapach","zapa_","ch/h","1","sheets/ch-h.svg","33","5","3","👃","temp-candidate"
"łańcuch","łańcu_","ch/h","2","sheets/ch-h.svg","34","5","4","⛓️","temp-candidate"
"wybuch","wybu_","ch/h","1","sheets/ch-h.svg","35","5","5","💥","temp-candidate"
"wydech","wyde_","ch/h","1","sheets/ch-h.svg","36","6","0","🌬️","temp-candidate"
"hotel","_otel","ch/h","1","sheets/ch-h.svg","37","6","1","🏨","temp-candidate"
"hamak","_amak","ch/h","1","sheets/ch-h.svg","38","6","2","🏝️","temp-candidate"
"hulajnoga","_ulajnoga","ch/h","2","sheets/ch-h.svg","39","6","3","🛴","temp-candidate"
"huśtawka","_uśtawka","ch/h","2","sheets/ch-h.svg","40","6","4","🎠","temp-candidate"
"hokej","_okej","ch/h","2","sheets/ch-h.svg","41","6","5","🏒","temp-candidate"
"humor","_umor","ch/h","1","sheets/ch-h.svg","42","7","0","😄","temp-candidate"
"hala","_ala","ch/h","1","sheets/ch-h.svg","43","7","1","🏟️","temp-candidate"
"hałas","_ałas","ch/h","1","sheets/ch-h.svg","44","7","2","🔊","temp-candidate"
"hak","_ak","ch/h","1","sheets/ch-h.svg","45","7","3","🪝","temp-candidate"
"harcerz","_arcerz","ch/h","2","sheets/ch-h.svg","46","7","4","⚜️","temp-candidate"
"hamulec","_amulec","ch/h","2","sheets/ch-h.svg","47","7","5","🛑","temp-candidate"
"hipopotam","_ipopotam","ch/h","2","sheets/ch-h.svg","48","8","0","🦛","temp-candidate"
"hiena","_iena","ch/h","2","sheets/ch-h.svg","49","8","1","🐕","temp-candidate"
"hektar","_ektar","ch/h","2","sheets/ch-h.svg","50","8","2","🌾","temp-candidate"
"helikopter","_elikopter","ch/h","2","sheets/ch-h.svg","51","8","3","🚁","temp-candidate"
"huta","_uta","ch/h","1","sheets/ch-h.svg","52","8","4","🏭","temp-candidate"
"hodować","_odować","ch/h","2","sheets/ch-h.svg","53","8","5","🐄","temp-candidate"
"hodowla","_odowla","ch/h","2","sheets/ch-h.svg","54","9","0","🐄","temp-candidate"
"hymn","_ymn","ch/h","2","sheets/ch-h.svg","55","9","1","🎼","temp-candidate"
"hokeista","_okeista","ch/h","2","sheets/ch-h.svg","56","9","2","🏒","temp-candidate"
"harmonia","_armonia","ch/h","2","sheets/ch-h.svg","57","9","3","🎵","temp-candidate"
"harfa","_arfa","ch/h","2","sheets/ch-h.svg","58","9","4","🎶","temp-candidate"
"hobby","_obby","ch/h","1","sheets/ch-h.svg","59","9","5","🎨","temp-candidate"
"wahadło","wa_adło","ch/h","2","sheets/ch-h.svg","60","10","0","🕰️","temp-candidate"
"druh","dru_","ch/h","2","sheets/ch-h.svg","61","10","1","⚜️","temp-candidate"
"druhna","dru_na","ch/h","2","sheets/ch-h.svg","62","10","2","⚜️","temp-candidate"
"ciocia","_ocia","ć/ci","1","sheets/c-ci.svg","0","0","0","👩","temp-candidate"
"cień","_eń","ć/ci","1","sheets/c-ci.svg","1","0","1","👤","temp-candidate"
"ciepło","_epło","ć/ci","1","sheets/c-ci.svg","2","0","2","☀️","temp-candidate"
"ciemno","_emno","ć/ci","1","sheets/c-ci.svg","3","0","3","🌙","temp-candidate"
"ćma","_ma","ć/ci","1","sheets/c-ci.svg","4","0","4","🦋","temp-candidate"
"spać","spa_","ć/ci","1","sheets/c-ci.svg","5","0","5","😴","temp-candidate"
"siostra","_ostra","ś/si","2","sheets/s-si.svg","0","0","0","👧","temp-candidate"
"siano","_ano","ś/si","1","sheets/s-si.svg","1","0","1","🌾","temp-candidate"
"sierpień","_erpień","ś/si","2","sheets/s-si.svg","2","0","2","🌻","temp-candidate"
"siedzieć","_edzieć","ś/si","2","sheets/s-si.svg","3","0","3","🪑","temp-candidate"
"świat","_wiat","ś/si","1","sheets/s-si.svg","4","0","4","🌍","temp-candidate"
"środa","_roda","ś/si","1","sheets/s-si.svg","5","0","5","📅","temp-candidate"
"ślimak","_limak","ś/si","1","sheets/s-si.svg","6","1","0","🐌","temp-candidate"
"ślad","_lad","ś/si","1","sheets/s-si.svg","7","1","1","👣","temp-candidate"
"ziarno","_arno","ź/zi","1","sheets/z-zi.svg","0","0","0","🌾","temp-candidate"
"źrebak","_rebak","ź/zi","2","sheets/z-zi.svg","1","0","1","🐴","temp-candidate"
"źle","_le","ź/zi","1","sheets/z-zi.svg","2","0","2","❌","temp-candidate"
"woźny","wo_ny","ź/zi","1","sheets/z-zi.svg","3","0","3","🔑","temp-candidate"
"groźny","gro_ny","ź/zi","1","sheets/z-zi.svg","4","0","4","⚠️","temp-candidate"
"niedziela","_edziela","ń/ni","2","sheets/n-ni.svg","0","0","0","📅","temp-candidate"
"niebieski","_ebieski","ń/ni","2","sheets/n-ni.svg","1","0","1","🔵","temp-candidate"
"anioł","a_oł","ń/ni","1","sheets/n-ni.svg","2","0","2","😇","temp-candidate"
"koniec","ko_ec","ń/ni","1","sheets/n-ni.svg","3","0","3","🏁","temp-candidate"
"bańka","ba_ka","ń/ni","1","sheets/n-ni.svg","4","0","4","🫧","temp-candidate"
"tańczyć","ta_czyć","ń/ni","2","sheets/n-ni.svg","5","0","5","💃","temp-candidate"
"kończyć","ko_czyć","ń/ni","2","sheets/n-ni.svg","6","1","0","🏁","temp-candidate"
"hańba","ha_ba","ń/ni","2","sheets/n-ni.svg","7","1","1","😳","temp-candidate"
"dziura","_ura","dź/dzi","1","sheets/dz-dzi.svg","0","0","0","🕳️","temp-candidate"
"dzik","_k","dź/dzi","1","sheets/dz-dzi.svg","1","0","1","🐗","temp-candidate"
"dziadek","_adek","dź/dzi","1","sheets/dz-dzi.svg","2","0","2","👴","temp-candidate"
"dziewczyna","_ewczyna","dź/dzi","2","sheets/dz-dzi.svg","3","0","3","👧","temp-candidate"
"dźwig","_wig","dź/dzi","2","sheets/dz-dzi.svg","4","0","4","🏗️","temp-candidate"
"dźwięk","_więk","dź/dzi","2","sheets/dz-dzi.svg","5","0","5","🔊","temp-candidate"
"dźwięczny","_więczny","dź/dzi","2","sheets/dz-dzi.svg","6","1","0","🎶","temp-candidate"
"dźwignia","_wignia","dź/dzi","2","sheets/dz-dzi.svg","7","1","1","⚙️","temp-candidate"
"niedźwiedź","nie_wiedź","dź/dzi","2","sheets/dz-dzi.svg","8","1","2","🐻","temp-candidate"
